City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
228,Tiksi,71.6872,128.8694,3.54,86,100,4.83,RU,2021-03-14 22:36:24,overcast clouds
229,Hokitika,-42.7167,170.9667,59.63,83,100,9.31,NZ,2021-03-14 22:45:20,overcast clouds
230,Camrose,53.0168,-112.8353,55.4,44,99,16.11,CA,2021-03-14 22:43:08,overcast clouds
231,Suzhou,31.3114,120.6181,54.0,88,23,7.07,CN,2021-03-14 22:45:21,few clouds
232,Fare,-16.7,-151.0167,83.12,74,86,10.8,PF,2021-03-14 22:45:21,overcast clouds
233,Pavlodar,52.3,76.95,-4.0,77,0,6.71,KZ,2021-03-14 22:42:02,clear sky
234,Kananga,-5.8958,22.4178,71.06,89,84,3.51,CD,2021-03-14 22:45:22,broken clouds
235,Torbay,47.6666,-52.7314,28.99,74,90,4.61,CA,2021-03-14 22:35:28,overcast clouds
236,Hovd,48.0056,91.6419,16.63,22,100,3.89,MN,2021-03-14 22:36:05,overcast clouds
237,Ulaangom,49.9811,92.0667,-2.33,79,99,3.42,MN,2021-03-14 22:45:23,overcast clouds
238,Usogorsk,63.4106,48.6872,25.07,94,100,7.7,RU,2021-03-14 22:45:23,light snow
239,Barabai,-2.5833,115.3833,73.98,93,58,0.83,ID,2021-03-14 22:42:22,broken clouds
240,Pasir Gudang,1.4584,103.8805,78.8,83,0,8.05,MY,2021-03-14 22:45:24,clear sky
241,Skibbereen,51.55,-9.2667,48.2,76,75,16.11,IE,2021-03-14 22:45:24,broken clouds
242,Fort Smith,35.3859,-94.3986,57.0,94,90,3.44,US,2021-03-14 22:45:05,light rain
243,Nouna,12.7333,-3.8667,78.91,15,32,6.42,BF,2021-03-14 22:45:25,scattered clouds
244,Bethel,41.3712,-73.414,33.01,55,66,1.99,US,2021-03-14 22:36:10,broken clouds
245,Laguna,38.421,-121.4238,59.0,54,20,8.05,US,2021-03-14 22:37:34,few clouds
246,Zaysan,47.4667,84.8667,7.84,97,100,1.32,KZ,2021-03-14 22:37:55,snow
247,Atasu,48.6814,71.6433,1.06,89,100,6.91,KZ,2021-03-14 22:45:25,overcast clouds
248,Caravelas,-17.7125,-39.2481,75.56,83,0,5.68,BR,2021-03-14 22:38:26,clear sky
249,Luba,3.4568,8.5547,79.74,80,93,1.36,GQ,2021-03-14 22:45:26,overcast clouds
250,New Waterford,40.8451,-80.6145,39.99,33,43,10.0,US,2021-03-14 22:45:26,scattered clouds
251,Kirs,59.3388,52.2447,20.34,93,100,8.81,RU,2021-03-14 22:45:27,overcast clouds
252,Vung Tau,10.346,107.0843,74.77,84,38,13.85,VN,2021-03-14 22:37:26,scattered clouds
253,Kloulklubed,7.0419,134.2556,77.0,100,75,3.44,PW,2021-03-14 22:45:28,broken clouds
254,Humaita,-7.5061,-63.0208,77.29,91,67,2.28,BR,2021-03-14 22:45:28,broken clouds
255,Benghazi,32.1167,20.0667,58.62,75,2,6.58,LY,2021-03-14 22:45:28,clear sky
256,Ribeira Grande,38.5167,-28.7,60.8,94,40,6.91,PT,2021-03-14 22:36:59,scattered clouds
257,Mehamn,71.0357,27.8492,26.6,86,90,3.44,NO,2021-03-14 22:37:28,light snow
258,Niculitel,45.1833,28.4833,41.0,93,44,9.22,RO,2021-03-14 22:45:29,mist
259,Necochea,-38.5473,-58.7368,64.0,82,0,5.3,AR,2021-03-14 22:38:04,clear sky
